player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Aaron Mooy,MF,Australia,32.26,4,0,1,4,1,35,0,4,100,78.3,255,Oceania,octavos de final,si
Aaron Ramsey,MF,Wales,31.98,3,0,1,3,3,19,0,3,98.5,78.6,147,Europe,fase de grupos,si
Abdelhamid Sabiri,MF,Morocco,26.05,2,0,1,2,3,7,0,5,27.4,77.6,86,Africa,final o tercer puesto,si
Abdelkarim Hassan,DF,Qatar,29.31,3,0,0,1,4,11,0,3,100,75.8,193,Asia,fase de grupos,no
Abderrazak Hamdallah,FW,Morocco,32,0.8,0,0,3,2,4,0,4,10.3,53.3,28,Africa,final o tercer puesto,no
Abdessamad Ezzalzouli,FW,Morocco,21,1,0,0,4,0,4,0,3,14.1,76.9,40,Africa,final o tercer puesto,no
Abdou Diallo,DF,Senegal,26.62,3.7,0,0,3,0,17,0,4,91.9,74.7,210,Africa,octavos de final,no
Abdul Fatawu Issahaku,FW,Ghana,18.78,0,0,0,0,0,0,0,1,0.4,100,2,Africa,fase de grupos,no
Abdulaziz Hatem,MF,Qatar,32.14,2.2,0,0,4,1,4,0,3,72.6,79.1,98,Asia,fase de grupos,no
Abdulelah Al-Amri,DF,Saudi Arabia,25.92,2,0,2,3,3,15,0,3,67.4,71.2,129,Asia,fase de grupos,si
Abdulellah Al-Malki,MF,Saudi Arabia,28.19,1.9,0,2,8,4,9,0,2,64.4,78.6,105,Asia,fase de grupos,si
Abdullah Madu,DF,Saudi Arabia,29.43,0.5,0,1,1,0,2,0,1,16.7,38.5,19,Asia,fase de grupos,si
Abdulrahman Al-Aboud,MF,Saudi Arabia,27.55,0.4,0,0,0,0,1,0,2,13,61.5,22,Asia,fase de grupos,no
Abolfazl Jalali,DF,IR Iran,24.48,0.2,0,1,1,4,3,0,1,7,69,34,Asia,fase de grupos,si
Achraf Dari,DF,Morocco,23.62,2.1,0,1,2,1,10,1,3,28.3,89.2,139,Africa,final o tercer puesto,si
Achraf Hakimi,DF,Morocco,24.12,7,0,0,6,13,46,0,7,95.6,81.7,478,Africa,final o tercer puesto,no
Adrien Rabiot,MF,France,27.71,5.4,0,1,10,4,30,1,6,73.2,83.5,350,Europe,final o tercer puesto,si
Agustín Canobbio,MF,Uruguay,24.21,0.1,0,0,0,1,2,0,1,4.1,71.4,11,South America,fase de grupos,no
Ahmad Nourollahi,MF,IR Iran,29.87,2.5,0,0,2,0,15,0,3,82.6,64.8,85,Asia,fase de grupos,no
Ahmed Alaaeldin,FW,Qatar,29.88,0.1,0,0,0,0,0,0,1,2.2,0,2,Asia,fase de grupos,no
Aimen Dahmen,GK,Tunisia,25.89,3,0,0,0,0,3,0,3,100,62.3,82,Africa,fase de grupos,no
Ajdin Hrustic,MF,Australia,26.45,0.7,0,0,1,2,3,0,3,17.2,81,32,Oceania,octavos de final,no
Akram Afif,FW,Qatar,26.08,3,0,1,2,6,14,0,3,100,84.2,181,Asia,fase de grupos,si
Alan Franco,MF,Ecuador,24.33,0.5,0,0,0,0,1,0,2,17,90.9,16,South America,fase de grupos,no
Alejandro Balde,DF,Spain,19.17,1.4,0,0,2,1,10,0,4,32.3,91.1,135,Europe,octavos de final,no
Aleksandar Mitrović,FW,Serbia,28.25,2.9,0,1,3,1,6,2,3,97,78.3,95,Europe,fase de grupos,si
Alex Sandro,DF,Brazil,31.89,2.1,0,0,3,2,16,0,3,39.6,88.8,193,South America,cuartos de final,no
Alex Telles,DF,Brazil,30.01,0.7,0,0,1,0,1,0,2,12.3,78.6,46,South America,cuartos de final,no
Alexander Bah,DF,Denmark,25.02,0.5,0,0,1,0,3,0,2,17,69.8,65,Europe,fase de grupos,no
Alexander Djiku,DF,Ghana,28.36,1.1,0,0,0,2,3,0,2,35.9,78.6,43,Africa,fase de grupos,no
Alexis Mac Allister,MF,Argentina,23.98,6.1,0,0,1,13,40,1,6,79.7,88.3,332,South America,final o tercer puesto,no
Alexis Vega,FW,Mexico,25.06,2.1,0,0,2,6,16,0,3,71.5,71.4,85,North America,fase de grupos,no
Ali Abdi,DF,Tunisia,28.99,2.1,0,1,5,0,17,0,3,69.6,62.1,152,Africa,fase de grupos,si
Ali Al Hassan,MF,Saudi Arabia,25.79,0.5,0,1,2,0,1,0,1,16.7,57.1,15,Asia,fase de grupos,si
Ali Al-Bulaihi,DF,Saudi Arabia,33.07,2.4,0,1,1,1,5,0,3,80,80.4,110,Asia,fase de grupos,si
Ali Assadalla,MF,Qatar,29.91,0.3,0,0,0,0,1,0,1,10,91.3,24,Asia,fase de grupos,no
Ali Gholizadeh,MF,IR Iran,26.78,2.2,0,0,3,1,21,0,3,73.7,63.9,86,Asia,fase de grupos,no
Ali Karimi,MF,IR Iran,28.85,1.1,0,0,4,1,6,0,3,36.7,75.6,55,Asia,fase de grupos,no
Ali Maâloul,DF,Tunisia,32.96,1,0,0,0,0,5,0,1,33.3,61.9,70,Africa,fase de grupos,no
Alidu Seidu,DF,Ghana,22.54,1.7,0,2,5,5,6,0,2,57.4,75.6,98,Africa,fase de grupos,si
Alireza Beiranvand,GK,IR Iran,30.24,1.2,0,0,0,0,0,0,2,40.4,64.5,34,Asia,fase de grupos,no
Alireza Jahanbakhsh,MF,IR Iran,29.35,0.7,0,2,2,0,1,0,2,21.9,64.7,27,Asia,fase de grupos,si
Alisson,GK,Brazil,30.21,4.2,0,0,0,1,7,0,4,79,86,101,South America,cuartos de final,no
Alistair Johnston,DF,Canada,24.19,3,0,1,5,3,16,0,3,100,79,209,North America,fase de grupos,si
Almoez Ali,FW,Qatar,26.33,2.5,0,1,2,2,6,0,3,83,73.3,66,Asia,fase de grupos,si
Alphonso Davies,MF,Canada,22.13,3,0,1,4,4,14,1,3,100,71.9,156,North America,fase de grupos,si
Amadou Onana,MF,Belgium,21.34,1.2,0,2,4,3,7,0,2,38.5,90.6,74,Europe,fase de grupos,si
Anass Zaroury,FW,Morocco,22.11,0.3,0,0,0,0,3,0,1,4.1,61.5,15,Africa,final o tercer puesto,no
Andre-Frank Zambo Anguissa,MF,Cameroon,27.09,2.9,0,0,6,4,16,0,3,96.3,86.9,159,Africa,fase de grupos,no
Andreas Christensen,DF,Denmark,26.69,3,0,1,2,1,20,1,3,100,94.4,280,Europe,fase de grupos,si
Andreas Cornelius,FW,Denmark,29.76,1,0,1,4,2,2,0,3,34.1,61.8,48,Europe,fase de grupos,si
Andreas Skov Olsen,FW,Denmark,22.97,1.5,0,0,2,1,3,0,2,48.9,68.3,76,Europe,fase de grupos,no
Andrej Kramarić,FW,Croatia,31.5,5.3,0,0,1,4,18,2,7,68.7,86.9,215,Europe,final o tercer puesto,no
Andries Noppert,GK,Netherlands,28.7,5.3,0,0,0,0,4,0,5,100,81.8,205,Europe,cuartos de final,no
