SE_ROW_ID,MSLINK,PARADA,RAMAL,SENTIDO,ORDEN,ID_PARADA,CALLE_UNO,CALLE_DOS,COD_SMS,OCHAVA,REFUGIO,DISTRITO,PUNTO_X,PUNTO_Y,CAMBIO,USUARIO_CA,TYPE,CHECKSUM,GEOJSON
33,0,2540,4,V,399,0,305,263,5308,SE        ,P         ,NORTE                                                                                                                                                 ,-60.731235,-32.881002,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.731235, -32.881002 ] } }"
45,0,1771,4,I,0,0,2032,167,2164,NO        ,B         ,NORTE                                                                                                                                                 ,-60.728483,-32.881447,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.728483, -32.881447 ] } }"
80,0,2539,4,V,264,0,1854,305,8893,NE        ,P         ,NORTE                                                                                                                                                 ,-60.731079,-32.883613,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.731079, -32.883613 ] } }"
81,0,2538,4,V,263,0,2032,623,7925,SE        ,P         ,NORTE                                                                                                                                                 ,-60.728068,-32.884415,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.728068, -32.884415 ] } }"
97,0,2537,4,V,262,0,331,2032,7060,NE        ,I         ,NORTE                                                                                                                                                 ,-60.727929,-32.886205,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.727929, -32.886205 ] } }"
102,0,1769,4,V,261,0,912,822,7736,SE        ,P         ,NORTE                                                                                                                                                 ,-60.727218,-32.887055,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.727218, -32.887055 ] } }"
105,0,1765,4,V,260,0,1037,2029,6133,SE        ,P         ,NORTE                                                                                                                                                 ,-60.727122,-32.888101,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.727122, -32.888101 ] } }"
110,0,966,15,V,0,0,1042,1892,4425,N         ,P         ,NOROESTE                                                                                                                                              ,-60.740327,-32.920869,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.740327, -32.920869 ] } }"
113,0,2888,15,V,0,0,1042,927,6305,NE        ,P         ,NOROESTE                                                                                                                                              ,-60.737224,-32.920785,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.737224, -32.920785 ] } }"
114,0,1764,4,V,259,0,1037,1273,8258,SE        ,P         ,NORTE                                                                                                                                                 ,-60.725399,-32.889136,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.725399, -32.889136 ] } }"
128,0,2887,15,V,0,0,1955,1042,7009,NO        ,P         ,NOROESTE                                                                                                                                              ,-60.735064,-32.920727,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.735064, -32.920727 ] } }"
130,0,2540,9,V,399,0,305,263,5308,SE        ,P         ,NORTE                                                                                                                                                 ,-60.731235,-32.881002,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.731235, -32.881002 ] } }"
133,0,2886,15,V,0,0,1955,1119,9721,NO        ,I         ,NOROESTE                                                                                                                                              ,-60.735114,-32.919093,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.735114, -32.919093 ] } }"
137,0,2539,9,V,285,0,1854,305,8893,NE        ,P         ,NORTE                                                                                                                                                 ,-60.731079,-32.883613,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.731079, -32.883613 ] } }"
140,0,2885,15,V,0,0,1955,1040,9499,NO        ,P         ,NOROESTE                                                                                                                                              ,-60.73517,-32.917597,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.735170, -32.917597 ] } }"
144,0,2884,15,V,0,0,1955,1081,8854,NO        ,P         ,NOROESTE                                                                                                                                              ,-60.735252,-32.915425,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.735252, -32.915425 ] } }"
