id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
6aNP9GlBi3VHPXl7w3Qjr9	'39	A Night At The Opera	45	0.524	0.571	-9.686	0.0273	0.0271	0	0.111	0.373	101.626	210800
5RYLa5P4qweEAKq5U1gdcK	A Kind Of Magic	A Kind Of Magic	72	0.67	0.776	-5.874	0.0356	0.0184	0.00294	0.128	0.703	130.128	264253
12HWTqP3GWqzyyKrpkhojF	A Winter's Tale	Made In Heaven	40	0.286	0.565	-6.368	0.032	0.179	0	0.321	0.132	106.219	230160
6nnH5zeFZOH3HMpEOG5DLg	Action This Day	Hot Space	33	0.727	0.478	-6.121	0.0403	0.0564	2.62e-4	0.0801	0.909	166.364	214813
6SvRYfsIeNSVV2EAH7I9P0	All Dead, All Dead	News Of The World	38	0.491	0.0765	-14.57	0.0416	0.787	3.06e-4	0.114	0.305	113.728	189587
6VWhk0VNyGs6o5aTUj4akR	All God's People	Innuendo	33	0.307	0.796	-8.066	0.095	0.233	0.00202	0.313	0.231	181.62	261653
5vdp5UmvTsnMEMESIF2Ym7	Another One Bites The Dust	The Game	82	0.933	0.528	-6.472	0.161	0.112	0.312	0.163	0.754	109.967	214653
14YQ2SSnv07HZjPP4Ud9mX	Back Chat	Hot Space	39	0.787	0.844	-6.423	0.0637	0.122	9.19e-5	0.372	0.71	118.959	275093
5CTAcf8aS0a0sIsDwQRF9C	Bicycle Race	Jazz	62	0.463	0.671	-6.438	0.0683	0.0626	0	0.0947	0.633	84.28	180813
3doVdGo0NrKWDuiAUiWyCY	Bijou	Innuendo	37	0.229	0.389	-9.766	0.0376	0.93	0.429	0.353	0.0562	72.735	216867
26FJA5apYWeehOGnZdUPob	Body Language	Hot Space	41	0.828	0.538	-9.593	0.0654	0.0395	0.00906	0.102	0.367	132.633	271600
4u7EnebtmKWzUH433cf5Qv	Bohemian Rhapsody	A Night At The Opera	82	0.414	0.404	-9.928	0.0499	0.271	0	0.3	0.224	71.105	354320
5Nuxdf0f5PpaeaPm4jrhiE	Breakthru	The Miracle	58	0.569	0.864	-5.697	0.0862	0.0614	0.00955	0.353	0.318	90.08	248387
5XL2uuMLIYLefXJsxmLXus	Brighton Rock	Sheer Heart Attack	37	0.354	0.843	-9.17	0.378	0.355	0.0126	0.789	0.348	137.62	310013
2eSAEd4El60OeatNib90TT	Bring Back That Leroy Brown	Sheer Heart Attack	31	0.702	0.641	-5.594	0.0879	0.399	0	0.0763	0.863	118.486	135307
47KKOdexdhKL2jgX673WrW	Calling All Girls	Hot Space	33	0.613	0.718	-6.749	0.0346	0.0484	1.1e-4	0.0661	0.619	138.43	231853
4xSDpJJNXAUis65Ogl7f7i	Coming Soon	The Game	37	0.685	0.915	-5.785	0.0455	0.00805	0.0622	0.156	0.863	136.817	170040
7nhWtCc3v6Vem80gYPlppQ	Cool Cat	Hot Space	62	0.818	0.4	-9.927	0.11	0.302	0.00241	0.18	0.838	73.76	209107
6xdLJrVj4vIXwhuG8TMopk	Crazy Little Thing Called Love	The Game	80	0.599	0.761	-6.887	0.0421	0.713	4.74e-6	0.349	0.712	77.015	163373
4ejjjAuVya6bapdTjZE9Lx	Dancer	Hot Space	35	0.74	0.476	-6.112	0.0344	0.045	1.01e-5	0.0494	0.511	100.09	230120
3OCQ5ybKASY4EIb4i9hsd7	Dead On Time	Jazz	39	0.31	0.954	-4.56	0.288	0.00706	1.36e-4	0.237	0.421	143.736	203347
2qdpQrNXOuGGGvFmbKGpZM	Dear Friends	Sheer Heart Attack	31	0.317	0.0455	-16.092	0.0344	0.88	0	0.172	0.571	107.711	67573
1cN13ivH3D66m9DoW2Z7iU	Death On Two Legs (Dedicated To...)	A Night At The Opera	45	0.373	0.691	-6.219	0.0554	0.362	4.03e-5	0.133	0.499	124.767	223920
1r1edvjolplEOpqGK2GoHt	Delilah	Innuendo	38	0.729	0.508	-9.444	0.0292	0.385	2.47e-5	0.12	0.553	109.079	214560
6PT7wUJefYPEU1lX1lcLRJ	Doing Alright	Queen	44	0.339	0.286	-12.334	0.0344	0.752	2.71e-5	0.085	0.192	93.013	249213
5NsOm4xBDedPNka2Tf7dSf	Don't Lose Your Head	A Kind Of Magic	35	0.537	0.918	-6.009	0.0702	0.00517	0.139	0.252	0.306	120.016	278133
5T8EDUDqKcs6OSOwEsfqG7	Don't Stop Me Now	Jazz	83	0.559	0.868	-5.276	0.17	0.0475	1.76e-4	0.776	0.609	156.295	209413
161M6Ul0mY3trIlDxBHyhK	Don't Try So Hard	Innuendo	39	0.26	0.424	-7.004	0.0312	0.716	1.98e-5	0.234	0.128	101.324	219827
0V7AVcMTaQqLKzxVloxWHj	Don't Try Suicide	The Game	62	0.796	0.486	-7.543	0.2	0.338	0	0.0314	0.646	135.249	232120
